Volatility 3 Framework 2.20.1

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output
3544	3256	vm3dservice.ex	0xca82b3fce200	6	-	1	False	2024-02-01 19:48:25.000000 UTC	N/A	Disabled
3692	660	svchost.exe	0xca82b7061280	6	-	0	False	2024-02-01 19:48:25.000000 UTC	N/A	Disabled
3852	660	svchost.exe	0xca82b1c90240	13	-	0	False	2024-02-01 19:48:25.000000 UTC	N/A	Disabled
3936	3692	ctfmon.exe	0xca82b7107240	11	-	1	False	2024-02-01 19:48:25.000000 UTC	N/A	Disabled
3104	660	svchost.exe	0xca82b7229080	12	-	0	False	2024-02-01 19:48:26.000000 UTC	N/A	Disabled
4276	660	dllhost.exe	0xca82b7320280	15	-	0	False	2024-02-01 19:48:26.000000 UTC	N/A	Disabled
4416	660	svchost.exe	0xca82b7406240	34	-	0	False	2024-02-01 19:48:26.000000 UTC	N/A	Disabled
4492	808	WmiPrvSE.exe	0xca82b7424280	13	-	0	False	2024-02-01 19:48:26.000000 UTC	N/A	Disabled
4508	624	userinit.exe	0xca82b7426340	0	-	1	False	2024-02-01 19:48:26.000000 UTC	2024-02-01 19:48:52.000000 UTC	Disabled
4568	4508	explorer.exe	0xca82b7440340	55	-	1	False	2024-02-01 19:48:26.000000 UTC	N/A	Disabled
4796	660	svchost.exe	0xca82b758d300	7	-	0	False	2024-02-01 19:48:26.000000 UTC	N/A	Disabled
4836	660	msdtc.exe	0xca82b75a7280	12	-	0	False	2024-02-01 19:48:26.000000 UTC	N/A	Disabled
3152	1144	taskhostw.exe	0xca82b7681280	7	-	1	False	2024-02-01 19:48:27.000000 UTC	N/A	Disabled
3228	660	svchost.exe	0xca82b7682080	3	-	0	False	2024-02-01 19:48:28.000000 UTC	N/A	Disabled
4760	660	svchost.exe	0xca82b7757280	4	-	0	False	2024-02-01 19:48:28.000000 UTC	N/A	Disabled
5132	660	svchost.exe	0xca82b7752280	9	-	0	False	2024-02-01 19:48:28.000000 UTC	N/A	Disabled
5220	660	svchost.exe	0xca82b77792c0	5	-	1	False	2024-02-01 19:48:28.000000 UTC	N/A	Disabled
