Volatility 3 Framework 2.20.1

Session ID	Session Type	Process ID	Process	User Name	Create Time
1	-	5792	msedge.exe	-	2024-07-04 10:45:14.000000 UTC
1	-	5848	SecurityHealth	-	2024-07-04 10:45:15.000000 UTC
1	Console	6368	vmtoolsd.exe	DESKTOP-T51LU0E/Elon	2024-07-04 10:45:15.000000 UTC
1	-	6604	TextInputHost.	DESKTOP-T51LU0E/Elon	2024-07-04 10:45:16.000000 UTC
1	-	7540	msedge.exe	-	2024-07-04 10:45:35.000000 UTC
1	-	7176	SkypeApp.exe	-	2024-07-04 10:45:57.000000 UTC
1	-	5088	msedge.exe	-	2024-07-04 10:46:14.000000 UTC
1	-	7848	RuntimeBroker.	-	2024-07-04 10:46:21.000000 UTC
1	-	7336	RuntimeBroker.	-	2024-07-04 10:46:48.000000 UTC
1	-	6780	WWAHost.exe	-	2024-07-04 10:46:50.000000 UTC
1	-	6700	ApplicationFra	DESKTOP-T51LU0E/Elon	2024-07-04 10:46:50.000000 UTC
1	-	6212	dllhost.exe	-	2024-07-04 10:46:52.000000 UTC
1	-	4296	ShellExperienc	-	2024-07-15 04:02:32.000000 UTC
1	-	4780	RuntimeBroker.	-	2024-07-15 04:02:32.000000 UTC
1	-	1200	msedge.exe	-	2024-07-15 04:02:53.000000 UTC
1	Console	5364	thunderbird.ex	DESKTOP-T51LU0E/Elon	2024-07-15 04:03:59.000000 UTC
1	-	4492	thunderbird.ex	-	2024-07-15 04:04:00.000000 UTC
1	-	8600	thunderbird.ex	-	2024-07-15 04:04:03.000000 UTC
1	-	8332	thunderbird.ex	-	2024-07-15 04:04:12.000000 UTC
1	-	7160	SearchApp.exe	-	2024-07-15 04:06:33.000000 UTC
1	-	8280	SkypeBackgroun	-	2024-07-15 04:06:48.000000 UTC
1	Console	8720	notepad.exe	DESKTOP-T51LU0E/Elon	2024-07-15 04:08:10.000000 UTC
1	-	3644	thunderbird.ex	-	2024-07-15 04:09:02.000000 UTC
1	-	3004	thunderbird.ex	-	2024-07-15 04:09:02.000000 UTC
1	-	6568	Calculator.exe	-	2024-07-15 04:09:51.000000 UTC
1	-	1400	RuntimeBroker.	-	2024-07-15 04:09:52.000000 UTC
1	-	1608	taskhostw.exe	DESKTOP-T51LU0E/Elon	2024-07-15 04:13:50.000000 UTC
1	-	10108	AppVShNotify.e	-	2024-07-15 04:14:55.000000 UTC
1	-	4164	SearchProtocol	DESKTOP-T51LU0E/Elon	2024-07-15 04:17:20.000000 UTC
1	-	4464	msedge.exe	-	2024-07-15 04:17:28.000000 UTC
1	-	10136	msedge.exe	-	2024-07-15 04:18:53.000000 UTC
1	-	1880	msedge.exe	-	2024-07-15 04:19:01.000000 UTC
1	-	1920	msedge.exe	-	2024-07-15 06:58:45.000000 UTC
1	-	6404	msedge.exe	-	2024-07-15 06:58:52.000000 UTC
1	-	2820	smartscreen.ex	DESKTOP-T51LU0E/Elon	2024-07-15 06:59:57.000000 UTC
1	-	9112	wordpad.exe	DESKTOP-T51LU0E/Elon	2024-07-15 07:00:03.000000 UTC
1	-	3692	powershell.exe	DESKTOP-T51LU0E/Elon	2024-07-15 07:00:03.000000 UTC
1	-	6892	conhost.exe	DESKTOP-T51LU0E/Elon	2024-07-15 07:00:03.000000 UTC
1	-	2416	net.exe	DESKTOP-T51LU0E/Elon	2024-07-15 07:00:06.000000 UTC
1	-	832	svchost.exe	DESKTOP-T51LU0E/Elon	2024-07-15 07:00:06.000000 UTC
N/A	-	1452	MemCompression	-	2024-07-04 10:44:51.000000 UTC
